ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,11.16889,species,unclassified
818,0.01884,species,Bacteroides thetaiotaomicron
820,2.07088,species,Bacteroides uniformis
821,2.53738,species,Phocaeicola vulgatus
823,1.11332,species,Parabacteroides distasonis
853,4.92826,species,Faecalibacterium prausnitzii
1304,0.1198,species,Streptococcus salivarius
1308,0.19612,species,Streptococcus thermophilus
1522,0.07442,species,[Clostridium] innocuum
1535,0.04615,species,[Clostridium] leptum
1547,0.11057,species,Thomasclavelia ramosa
1599,0.07112,species,Latilactobacillus sakei
28111,4.30372,species,Bacteroides eggerthii
28116,0.42015,species,Bacteroides ovatus
28117,0.99564,species,Alistipes putredinis
28118,0.10815,species,Odoribacter splanchnicus
29347,0.19048,species,[Clostridium] scindens
33035,0.01746,species,Blautia producta
33038,0.46001,species,Mediterraneibacter gnavus
33039,0.04902,species,[Ruminococcus] torques
39486,0.35167,species,Dorea formicigenerans
39491,3.2433,species,Agathobacter rectalis
40518,1.84236,species,Ruminococcus bromii
40520,0.00593,species,Blautia obeum
46228,0.68245,species,[Ruminococcus] lactaris
46503,0.10079,species,Parabacteroides merdae
46506,1.34421,species,Bacteroides stercoris
47678,0.4717,species,Bacteroides caccae
53443,0.49233,species,Blautia hydrogenotrophica
61171,0.08193,species,Holdemania filiformis
84112,0.35888,species,Eggerthella lenta
88431,0.34113,species,Dorea longicatena
105841,0.1006,species,Anaerostipes caccae
105843,1.14696,species,Anaerobutyricum soehngenii
154046,0.03744,species,Hungatella hathewayi
169435,0.10572,species,Anaerotruncus colihominis
180164,0.16941,species,Blautia schinkii
208479,0.13143,species,Enterocloster bolteae
214856,2.16636,species,Alistipes finegoldii
216816,0.35299,species,Bifidobacterium longum
218538,6.4613,species,Dialister invisus
246787,7.9271,species,Bacteroides cellulosilyticus
253257,0.00286,species,Lacrimispora amygdalina
292800,0.85463,species,Flavonifractor plautii
301301,10.4399,species,Roseburia hominis
328813,11.67624,species,Alistipes onderdonkii
328814,0.12901,species,Alistipes shahii
342942,0.3153,species,Mediterraneibacter glycyrrhizinilyticus
351091,0.97559,species,Oscillibacter valericigenes
357276,0.78705,species,Phocaeicola dorei
358742,0.06366,species,Enterocloster aldenensis
358743,0.04911,species,Enterocloster citroniae
371601,0.18215,species,Bacteroides xylanisolvens
410072,0.25695,species,Coprococcus comes
418240,2.23072,species,Blautia wexlerae
446660,0.07972,species,Adlercreutzia equolifaciens
460384,0.03657,species,Enterocloster lavalensis
471189,0.02456,species,Gordonibacter pamelaeae
474960,0.05395,species,Hydrogenoanaerobacterium saccharovorans
487174,1.27329,species,Barnesiella intestinihominis
626932,0.1729,species,Alistipes indistinctus
649756,0.03275,species,Anaerostipes hadrus
674529,0.36725,species,Bacteroides faecis
871665,0.02653,species,Blautia faecis
1034346,0.00767,species,Dielma fastidiosa
1099853,0.0082,species,Coprobacter fastidiosus
1150298,0.2806,species,Fusicatenibacter saccharivorans
1432052,0.02074,species,Eisenbergiella tayi
1550024,0.29783,species,Ruthenibacterium lactatiformans
1628085,0.07921,species,Agathobaculum butyriciproducens
1653434,0.30179,species,Sellimonas intestinalis
1673717,0.05562,species,Anaeromassilibacillus senegalensis
1673721,0.07484,species,Intestinimonas massiliensis (ex Afouda et al. 2020)
1689270,0.17672,species,Intestinimonas timonensis
1697794,0.06739,species,Clostridia bacterium UC5.1-1D1
1720194,0.02241,species,Clostridium sp. AT4
1720294,0.42382,species,Eisenbergiella massiliensis
1737424,0.16712,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.02552,species,Romboutsia timonensis
1776392,0.07012,species,Massilimicrobiota timonensis
1796615,0.13811,species,Blautia caecimuris
1796618,0.01043,species,Cuneatibacter caecimuris
1870991,0.02841,species,Massilioclostridium coli
1898204,0.12001,species,Clostridiaceae bacterium
1898207,0.55012,species,Clostridiales bacterium
1944635,0.2986,species,Sutterella seckii
1981510,0.4616,species,Monoglobus pectinilyticus
2015901,0.4947,species,Massilicoli timonensis
2041842,0.01132,species,Neobittarella massiliensis (ex Bilen et al. 2018)
2093857,1.57829,species,Dysosmobacter welbionis
2108523,0.18552,species,Lawsonibacter asaccharolyticus
2126740,0.05423,species,Clostridium fessum
2211183,0.284,species,Evtepia gabavorous
2292046,0.13351,species,Lachnotalea sp. AF33-28
2292244,0.06044,species,Pseudoflavonifractor sp. AF19-9AC
2292991,4.68734,species,Catenibacterium sp. AM22-15
2293024,0.00225,species,Clostridium sp. AM22-11AC
2293028,0.05957,species,Clostridium sp. AM29-11AC
2358141,0.39687,species,Anaerotignum faecicola
2585118,0.17448,species,Alistipes communis
2585119,0.10257,species,Alistipes dispar
2714355,0.57595,species,Vescimonas coprocola
2763644,0.00538,species,Zhenpiania hominis
2763656,0.05037,species,Guopingia tenuis
2763663,0.35925,species,Enterocloster hominis (ex Liu et al. 2021)
2763667,0.01625,species,Wansuia hejianensis
2764322,0.03155,species,Hydrogeniiclostridium mannosilyticum
2841521,0.01836,species,Anaerotignum sp. MSJ-24
2850323,0.02967,species,Diplocloster agilis
2883295,0.05419,species,bacterium 210917-DFI.7.65
