ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,13.26086,species,unclassified
548,0.02571,species,Klebsiella aerogenes
562,0.00208,species,Escherichia coli
729,0.00142,species,Haemophilus parainfluenzae
818,0.2163,species,Bacteroides thetaiotaomicron
820,4.85942,species,Bacteroides uniformis
821,2.79185,species,Phocaeicola vulgatus
823,0.43223,species,Parabacteroides distasonis
853,5.2211,species,Faecalibacterium prausnitzii
901,0.50612,species,Desulfovibrio piger
907,0.07732,species,Megasphaera elsdenii
1304,0.00852,species,Streptococcus salivarius
1308,0.31089,species,Streptococcus thermophilus
1535,0.01856,species,[Clostridium] leptum
1680,0.04924,species,Bifidobacterium adolescentis
2702,0.0042,species,Gardnerella vaginalis
28026,0.00219,species,Bifidobacterium pseudocatenulatum
28052,0.66788,species,Lachnospira pectinoschiza
28116,0.51758,species,Bacteroides ovatus
28117,2.91326,species,Alistipes putredinis
28118,0.55027,species,Odoribacter splanchnicus
28125,0.03021,species,Prevotella bivia
28130,0.00435,species,Prevotella disiens
29466,0.00419,species,Veillonella parvula
33025,0.09377,species,Phascolarctobacterium faecium
33039,0.09329,species,[Ruminococcus] torques
35833,0.03538,species,Bilophila wadsworthia
39485,1.39075,species,Lachnospira eligens
39486,0.0266,species,Dorea formicigenerans
39488,0.02452,species,Anaerobutyricum hallii
39490,0.01013,species,Eubacterium ramulus
39491,3.70624,species,Agathobacter rectalis
39492,7.53748,species,[Eubacterium] siraeum
39496,0.00205,species,Eubacterium ventriosum
40518,2.67138,species,Ruminococcus bromii
40520,0.15114,species,Blautia obeum
46228,0.34549,species,[Ruminococcus] lactaris
46503,0.38782,species,Parabacteroides merdae
46506,1.28843,species,Bacteroides stercoris
47678,0.08708,species,Bacteroides caccae
52226,0.37541,species,Mitsuokella multacida
74426,0.16066,species,Collinsella aerofaciens
82135,0.00035,species,Fannyhessea vaginae
88431,0.06216,species,Dorea longicatena
89014,0.09102,species,Blautia luti
105843,0.00561,species,Anaerobutyricum soehngenii
106588,0.00041,species,Pseudoflavonifractor capillosus
113107,0.00033,species,Streptococcus australis
116085,0.02425,species,Coprococcus catus
154046,0.00256,species,Hungatella hathewayi
165179,0.02485,species,Segatella copri
166486,0.46581,species,Roseburia intestinalis
172901,0.02634,species,Victivallis vadensis
204516,0.00313,species,Phocaeicola massiliensis
214856,0.00828,species,Alistipes finegoldii
216816,0.00665,species,Bifidobacterium longum
239935,0.07509,species,Akkermansia muciniphila
246787,0.20567,species,Bacteroides cellulosilyticus
253257,0.08719,species,Lacrimispora amygdalina
281920,0.00041,species,Porphyromonas uenonis
290055,0.04201,species,Faecalicatena fissicatena
291644,0.18,species,Bacteroides salyersiae
291645,0.00412,species,Bacteroides nordii
292800,0.01616,species,Flavonifractor plautii
301301,0.9934,species,Roseburia hominis
301302,1.66823,species,Roseburia faecis
310297,16.38518,species,Phocaeicola plebeius
310298,6.26461,species,Phocaeicola coprocola
328812,0.03422,species,Parabacteroides goldsteinii
328813,0.05977,species,Alistipes onderdonkii
328814,0.94163,species,Alistipes shahii
329854,0.41928,species,Bacteroides intestinalis
338188,0.15663,species,Bacteroides finegoldii
351091,0.0028,species,Oscillibacter valericigenes
357276,0.00487,species,Phocaeicola dorei
360807,0.57294,species,Roseburia inulinivorans
371601,0.24012,species,Bacteroides xylanisolvens
386414,0.02089,species,Hoylesella timonensis
418240,0.1708,species,Blautia wexlerae
446660,0.00588,species,Adlercreutzia equolifaciens
454154,0.47793,species,Paraprevotella clara
471189,0.00285,species,Gordonibacter pamelaeae
474960,0.07314,species,Hydrogenoanaerobacterium saccharovorans
487174,0.61255,species,Barnesiella intestinihominis
487175,0.40564,species,Parasutterella excrementihominis
536633,0.07545,species,Blautia glucerasea
544644,0.02496,species,Butyricimonas synergistica
544645,0.01012,species,Butyricimonas virosa
572010,0.01608,species,Slackia isoflavoniconvertens
592978,0.03217,species,Mediterraneibacter faecis
626932,0.00075,species,Alistipes indistinctus
649756,0.0205,species,Anaerostipes hadrus
713054,0.05305,species,TM7 phylum sp. oral taxon 352
745368,0.03797,species,Gemmiger formicilis
871664,0.02999,species,Blautia stercoris
871665,0.04685,species,Blautia faecis
936548,0.00515,species,Actinomyces sp. ICM47
1150298,0.25283,species,Fusicatenibacter saccharivorans
1297617,0.02419,species,Intestinimonas butyriciproducens
1470347,0.00175,species,Alistipes ihumii
1472416,0.0155,species,Butyricimonas faecihominis
1472417,0.0296,species,Butyricimonas paravirosa
1519439,0.20973,species,Oscillibacter sp. ER4
1550024,0.01693,species,Ruthenibacterium lactatiformans
1628085,0.0271,species,Agathobaculum butyriciproducens
1650663,0.01525,species,Allofournierella massiliensis
1702285,0.00151,species,Intestinimonas gabonensis
1715004,0.28555,species,Clostridiales bacterium KLE1615
1720200,0.00434,species,Anaerotruncus rubiinfantis
1737424,0.02235,species,Blautia massiliensis (ex Durand et al. 2017)
1816676,0.00309,species,Alistipes provencensis
1841867,0.00801,species,Merdimmobilis hominis
1855299,0.00217,species,Oscillibacter sp. PC13
1871018,0.00352,species,Angelakisella massiliensis
1871035,0.09418,species,Negativibacillus massiliensis
1898203,0.02671,species,Lachnospiraceae bacterium
1898204,0.06511,species,Clostridiaceae bacterium
1898207,0.01319,species,Clostridiales bacterium
1965538,0.01068,species,Flavonifractor sp. An100
1982626,0.00193,species,Faecalibacillus intestinalis
2093857,0.55411,species,Dysosmobacter welbionis
2108523,0.02368,species,Lawsonibacter asaccharolyticus
2126740,0.14454,species,Clostridium fessum
2259133,0.15557,species,Mesosutterella multiformis
2292006,0.00225,species,Clostridium sp. AF32-12BH
2292041,0.02201,species,Dorea sp. AF36-15AT
2292182,0.07672,species,Clostridiaceae bacterium AF18-31LB
2292190,0.07303,species,Alistipes sp. AF17-16
2292201,0.05094,species,Clostridium sp. AF12-28
2292244,0.00066,species,Pseudoflavonifractor sp. AF19-9AC
2292245,0.02591,species,Ruminococcus sp. AF13-28
2292271,0.11361,species,Lachnospiraceae bacterium AM48-27BH
2292272,0.00397,species,Lachnospiraceae bacterium OM04-12BH
2292287,0.00094,species,Blautia sp. OF03-15BH
2292304,0.06125,species,Clostridium sp. AM33-3
2292358,0.02103,species,Megasphaera sp. AM44-1BH
2293015,0.15818,species,Clostridium sp. AF36-4
2293024,0.07479,species,Clostridium sp. AM22-11AC
2293035,0.26732,species,Clostridium sp. AM49-4BH
2293138,0.16611,species,Roseburia sp. AM59-24XD
2293831,0.00356,species,Lachnospiraceae bacterium OF09-6
2316025,0.01007,species,Mediterraneibacter butyricigenes
2358141,0.04344,species,Anaerotignum faecicola
2500537,0.89472,species,Candidatus Cibiobacter qucibialis
2509240,0.02763,species,Blautia faecicola
2582419,0.42031,species,Dialister hominis
2585118,0.19513,species,Alistipes communis
2585119,0.14081,species,Alistipes dispar
2606633,0.01503,species,Oliverpabstia intestinalis
2714355,0.00319,species,Vescimonas coprocola
2735723,0.02599,species,Turicibacter bilis
2763017,0.00298,species,Anaerosacchariphilus hominis
2763051,0.62178,species,Lachnospira hominis (ex Liu et al. 2021)
2763057,0.02422,species,Parabacteroides hominis
2763061,0.01243,species,Roseburia lenta
2763663,0.05339,species,Enterocloster hominis (ex Liu et al. 2021)
2763664,0.04824,species,Jutongia hominis
2763670,0.0014,species,Wujia chipingensis
2763672,10.81987,species,Simiaoa sunii
2763675,0.00293,species,Jilunia laotingensis
2830654,0.00064,species,Clostridiaceae bacterium Marseille-Q3526
2830655,0.01119,species,Oscillospiraceae bacterium Marseille-Q3528
2830657,0.05784,species,Clostridiaceae bacterium Marseille-Q4143
2830659,0.43479,species,Clostridiaceae bacterium Marseille-Q4149
2831996,0.00177,species,Eubacteriales bacterium
2841509,0.00233,species,Butyricicoccus intestinisimiae
2841521,0.0548,species,Anaerotignum sp. MSJ-24
2841526,0.17235,species,Oscillibacter sp. MSJ-31
2881276,0.0135,species,Fusicatenibacter faecihominis
2883268,0.02797,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.01398,species,bacterium 210917-DFI.7.65
2885350,0.06323,species,Gallintestinimicrobium propionicum
2885357,0.1471,species,Hominenteromicrobium mulieris
2981769,0.43739,species,Waltera acetigignens
